Category,Formula,Example,Best For,Trigger Type
Lead Magnets,Download: The [Result] Template Used By [Successful Group],Download: The Sales Script Used By Top 1% Closers,Proven templates,Social Proof + Results
Lead Magnets,[Topic] Masterclass: From [Current State] To [Desired State],[Topic] Masterclass: From Zero To 10K Followers,Transformation training,Before/After + Education
Lead Magnets,Get The [Tool/Resource] That Generated [Impressive Result],Get The Email Sequence That Generated $250K In Sales,Results-based resources,Proof + Curiosity
Lead Magnets,The [Number]-Minute [Topic] Crash Course That [Benefit],The 15-Minute Copywriting Crash Course That 10x'd My Business,Quick learning,Timeframe + Results
Lead Magnets,Free [Tool]: Calculate Your [Valuable Metric],Free Calculator: Calculate Your Customer Lifetime Value,Interactive tools,Utility + Specificity
Lead Magnets,Discover The [System/Framework] Behind [Impressive Achievement],Discover The Framework Behind Our 400% Revenue Growth,Behind-the-scenes content,Curiosity + Proof
Lead Magnets,[Target Audience]'s Guide To [Complex Topic] (Simple Version),[Beginner's Guide To Facebook Ads (Simple Version)],Simplified education,Accessibility + Relief
Lead Magnets,Access Granted: [Exclusive Resource] For [Target Audience],Access Granted: Private Community For E-Commerce Founders,Exclusive content,Exclusivity + Belonging
Email Campaigns,You Left Something Behind...,You Left Something Behind...,Cart abandonment,Curiosity + Urgency
Email Campaigns,[Name] - Quick Question About [Topic],[Sarah] - Quick Question About Your Marketing,Personal outreach,Personalization + Curiosity
Email Campaigns,This Expires Tonight: [Offer],[This Expires Tonight: 40% Off Everything],Flash sales,Urgency + Clarity
Email Campaigns,I Noticed You [Specific Action]...,I Noticed You Downloaded Our Guide...,Behavioral triggers,Personalization + Follow-up
Email Campaigns,[Number] Hours Left: [Benefit/Offer],[24 Hours Left: Free Shipping On Everything],Countdown urgency,Scarcity + Clarity
Email Campaigns,Ready To [Achieve Goal]? Here's How,[Ready To 2x Your Revenue? Here's How],Re-engagement,Question + Solution
Email Campaigns,We Made This For You: [Personalized Offer],We Made This For You: Your Custom Marketing Plan,Personalized content,Exclusivity + Gift
Email Campaigns,Your [Item/Resource] Is Waiting,[Your Free Template Library Is Waiting],Delivery emails,Anticipation + Fulfillment
Email Campaigns,Last Call: [Opportunity] Ends [Timeframe],Last Call: Early Bird Pricing Ends At Midnight,Final urgency,Scarcity + Deadline
Email Campaigns,[Controversial Statement] - Here's Why,[Email Marketing Is Dead - Here's Why],Controversial hooks,Shock + Curiosity
Email Campaigns,Thanks For [Action] - Here's What's Next,Thanks For Joining - Here's What's Next,Welcome sequences,Gratitude + Direction
Email Campaigns,You're Invited: [Exclusive Opportunity],You're Invited: Private Mastermind For Top Performers,VIP opportunities,Exclusivity + Status
Email Campaigns,[Question That Reveals Pain Point],[Struggling To Get Clients? Here's Why],Problem-focused,Empathy + Curiosity
Email Campaigns,New: [Product/Feature] Just Dropped,New: Instagram Scheduler Just Dropped,Launch announcements,Novelty + Excitement
Email Campaigns,People Are Asking About [Topic]. Here's The Answer,People Are Asking About Our Refund Policy. Here's The Answer,FAQ content,Social Proof + Transparency
Email Campaigns,Special Gift Inside: [Surprise Bonus],Special Gift Inside: 3 Months Free Premium,Surprise bonuses,Gift + Curiosity
Email Campaigns,Can I Be Honest With You About [Topic],Can I Be Honest With You About Growing Your Business,Vulnerable positioning,Trust + Intimacy
Email Campaigns,Your [Metric/Status] Looks Great - But Here's How To [Improve],Your Open Rates Look Great - But Here's How To Double Them,Optimization emails,Compliment + Opportunity
Email Campaigns,Breaking: [News/Update] About [Topic],Breaking: Major Algorithm Update About SEO,News-based emails,Urgency + Importance
Email Campaigns,You're Missing Out On [Specific Benefit],You're Missing Out On 10x Faster Delivery,FOMO campaigns,Loss Aversion + Benefit
Social Media Ads,Scroll-Stopper: [Unusual Statement/Fact],Scroll-Stopper: We Pay You To Use Our Product,Attention-grabbing,Pattern Interrupt
Social Media Ads,[Target Audience]: Stop [Common Mistake],[Gym Owners: Stop Posting Workout Videos],Targeted callouts,Direct Address + Command
Social Media Ads,This [Product] Is [Unusual Claim]. Here's Proof,This Course Is Free. Here's Proof,Disbelief hooks,Claim + Evidence
Social Media Ads,POV: You [Relatable Scenario],POV: You Finally Found Jeans That Actually Fit,Relatability hooks,Identity + Relief
Social Media Ads,If You [Condition] This Is For You,If You Hate Cooking This Is For You,Conditional targeting,Self-Selection
Social Media Ads,Nobody Talks About [Hidden Truth],Nobody Talks About The Real Cost Of DIY Marketing,Contrarian positioning,Curiosity + Truth
Social Media Ads,I Spent [Amount/Time] On [Topic] So You Don't Have To,I Spent $50K On Facebook Ads So You Don't Have To,Sacrifice positioning,Value + Authority
Social Media Ads,The [Product/Method] [Unexpected Group] Are Using,The Meditation App Navy SEALs Are Using,Unlikely social proof,Authority + Curiosity
Social Media Ads,"Watch: [Impressive Demonstration]","Watch: This Stain Vanishes In 3 Seconds",Visual proof,Demonstration + Curiosity
Social Media Ads,Why Your [Tool/Method] Isn't [Working/Enough],Why Your Current CRM Isn't Enough For Growth,Problem awareness,Pain Point + Curiosity
Social Media Ads,[Do Something] Like [Aspirational Figure/Group],[Build Muscle Like Fitness Models Do],Aspiration positioning,Comparison + Desire
Social Media Ads,This [Time Period] Changed Everything,This One Call Changed Everything,Transformation story,Story + Curiosity
Social Media Ads,"Yes, [Address Objection]. And Here's Why","Yes, It's Expensive. And Here's Why",Objection pre-handle,Transparency + Confidence
Social Media Ads,What [Number] [Unit] Of [Activity] Taught Me,"What 1,000 Sales Calls Taught Me About Closing",Experience-based authority,Authority + Lessons
Social Media Ads,Tag Someone Who [Relatable Behavior],Tag Someone Who Checks Their Phone Every 5 Minutes,Viral engagement,Relatability + Sharing
Social Media Ads,The Difference Between [Unsuccessful] And [Successful],The Difference Between $5K Months And $50K Months,Comparison positioning,Contrast + Aspiration
Social Media Ads,Real Results: [Customer Outcome] In [Timeframe],Real Results: Lost 30 Pounds In 90 Days,Social proof ads,Results + Credibility
Social Media Ads,[Emotional Hook]: [Specific Scenario],Exhausted: Running A Business From Your Phone,Emotion-first positioning,Emotion + Relatability
Social Media Ads,"Stop [Common Advice]. Try [Better Alternative] Instead","Stop Running Ads. Try SEO Instead",Contrarian advice,Controversy + Alternative
Social Media Ads,The [Price] [Product] That Outperforms [Expensive Alternative],The $29 Blender That Outperforms $400 Vitamix,Value positioning,Price + Comparison
VSLs/Webinars,Warning: [Common Approach] Could Be [Negative Outcome],Warning: Your Current Email Strategy Could Be Killing Sales,Fear-based hooks,Urgency + Fear
VSLs/Webinars,The [Controversial Method] That [Impressive Result],The Backwards Sales Method That Doubled Our Close Rate,Unique mechanism,Intrigue + Results
VSLs/Webinars,What [Authority Figure] Don't Want You To Know About [Topic],What Fitness Trainers Don't Want You To Know About Fat Loss,Conspiracy angle,Curiosity + Authority
VSLs/Webinars,How A [Regular Person] [Achieved Extraordinary Result],How A School Teacher Built A $2M Business From Her Kitchen,Relatability story,Underdog + Results
VSLs/Webinars,Revealed: The [System/Secret] Behind [Success Story],Revealed: The System Behind Our 8-Figure Launch,Behind-the-scenes,Curiosity + Proof
VSLs/Webinars,"If You [Condition], You Need To See This","If You Make Under $10K/Mo, You Need To See This",Conditional targeting,Relevance + Urgency
VSLs/Webinars,The [Number]-[Unit] Challenge That [Result],The 30-Day Challenge That Transforms Your Business,Challenge-based,Commitment + Results
VSLs/Webinars,Free Training: [Specific Outcome] Without [Common Requirement],Free Training: Build Your List Without Paid Ads,Educational positioning,Value + Unique Method
VSLs/Webinars,I'm Going To Show You How To [Achieve Goal] Starting [Timeframe],I'm Going To Show You How To Get Clients Starting Tomorrow,Direct promise,Clarity + Speed
VSLs/Webinars,This [Short Duration] [Presentation Type] Will Change [Outcome],This 45-Minute Masterclass Will Change Your Entire Sales Process,Transformation promise,Time Investment + Benefit
VSLs/Webinars,The Untold Truth About [Topic] And [Related Topic],The Untold Truth About Funnels And Why Most Fail,Hidden knowledge,Curiosity + Authority
VSLs/Webinars,[Number] [Successful People] Share Their [Specific Strategy],[7 Seven-Figure Founders Share Their Content Strategy],Expert panel positioning,Authority + Social Proof
VSLs/Webinars,Why [Old Method] Is Dead And What To Do Instead,Why Cold Calling Is Dead And What To Do Instead,Replacement positioning,Controversy + Solution
VSLs/Webinars,Live Demo: How To [Specific Task] In [Timeframe],Live Demo: How To Build A Funnel In 60 Minutes,Demonstration value,Proof + Speed
VSLs/Webinars,Case Study: How We [Specific Achievement],Case Study: How We Got 10K Subscribers In 30 Days,Proof-based content,Results + Story
VSLs/Webinars,Join [Number] [People] Learning [Skill/Topic] Live,"Join 5,000 Marketers Learning AI Prompts Live",Community event,Social Proof + FOMO
VSLs/Webinars,The [Topic] Breakthrough That [Unexpected Benefit],The Productivity Breakthrough That Gave Me My Weekends Back,Innovation positioning,Curiosity + Lifestyle
VSLs/Webinars,[Timeframe] From Now You'll Either [Positive] Or [Negative],[One Year From Now You'll Either Be Thriving Or Still Struggling],Fork-in-road positioning,Urgency + Contrast
VSLs/Webinars,What Nobody Tells You Before You [Big Decision],What Nobody Tells You Before You Quit Your Job,Pre-decision education,Authority + Honesty
VSLs/Webinars,Master [Skill] Before [Negative Outcome Happens],Master Sales Before AI Replaces Your Job,Urgency positioning,Fear + Skill Building
Blog Posts/Content,The Complete Guide To [Topic] For [Target Audience],The Complete Guide To LinkedIn For B2B Founders,Comprehensive content,Authority + Targeting
Blog Posts/Content,[Number] [Topic] Examples That [Result],[50 Landing Page Examples That Convert At 40%+],Example-based content,Social Proof + Inspiration
Blog Posts/Content,How To [Achieve Goal]: [Number]-Step Framework,How To Write Sales Copy: 5-Step Framework,Educational content,Structure + Clarity
Blog Posts/Content,Everything I Know About [Topic] After [Time/Experience],Everything I Know About Facebook Ads After Spending $2M,Authority content,Experience + Value
Blog Posts/Content,[Topic] vs [Topic]: Which Is Better For [Use Case],SEO vs Paid Ads: Which Is Better For SaaS Companies,Comparison content,Decision-making Help
Blog Posts/Content,The [Topic] Mistakes That Are [Negative Outcome],The SEO Mistakes That Are Tanking Your Rankings,Mistake-focused content,Problem Awareness
Blog Posts/Content,[Number] Ways To [Achieve Goal] (With Examples),[15 Ways To Grow Your Email List (With Examples)],Listicle + proof,Actionable + Specific
Blog Posts/Content,What Is [Topic]? [Simple/Complete] Explanation,What Is Conversion Rate Optimization? Complete Explanation,Definition content,Educational + SEO
Blog Posts/Content,Why [Common Belief] Is Wrong About [Topic],Why Everyone Is Wrong About Content Marketing,Contrarian content,Curiosity + Authority
Blog Posts/Content,[Topic] In [Current Year]: What's Changed And What Works,[Email Marketing In 2026: What's Changed And What Works],Updated content,Timeliness + Relevance
Blog Posts/Content,How [Successful Person/Company] [Achieved Result],How Airbnb Grew To $1B Without Traditional Marketing,Case study content,Story + Authority
Blog Posts/Content,The Science Behind [Topic]: [What Research Shows],The Science Behind Habit Formation: What Research Shows,Research-based content,Authority + Credibility
Blog Posts/Content,Beginner's Guide: [Topic] Explained Simply,Beginner's Guide: Copywriting Explained Simply,Entry-level content,Accessibility + SEO
Blog Posts/Content,[Number] [Topic] Tools We Actually Use And Recommend,[12 Marketing Tools We Actually Use And Recommend],Review content,Trust + Utility
Blog Posts/Content,How To [Do Task] Without [Common Requirement/Tool],How To Build A Brand Without A Big Budget,Alternative method,Accessibility + Innovation
Blog Posts/Content,The Only [Topic] Checklist You Need,The Only Product Launch Checklist You Need,Resource content,Completeness + Utility
Blog Posts/Content,[Topic] Statistics That [Surprising Insight],[Remote Work Statistics That Will Change How You Hire],Data-driven content,Authority + Surprise
Blog Posts/Content,My [Timeframe] [Topic] Journey: [Result],My 90-Day Content Journey: From 0 To 100K Views,Personal story,Relatability + Results
Blog Posts/Content,[Number] Lessons From [Experience],7 Lessons From Building A 7-Figure Online Business,Wisdom content,Authority + Value
Blog Posts/Content,Is [Topic] Worth It? Honest [Analysis/Review],Is ClickFunnels Worth It? Honest 2026 Review,Review content,Transparency + Decision Help
Cold Outreach,[Mutual Connection] Suggested I Reach Out,[Sarah Jones] Suggested I Reach Out,Personal introduction,Social Proof + Warm
Cold Outreach,Quick Question About [Specific Company Detail],Quick Question About Your Recent Product Launch,Research-based,Personalization + Relevance
Cold Outreach,Saw Your Post About [Topic] - Thought You'd Like This,Saw Your Post About Scaling - Thought You'd Like This,Social listening,Relevance + Value
Cold Outreach,[Specific Observation] Caught My Eye,Your Landing Page Speed Caught My Eye,Attention to detail,Personalization + Hook
Cold Outreach,Fellow [Shared Identity] Here,Fellow Agency Owner Here,Common ground,Identity + Rapport
Cold Outreach,Love What You're Doing With [Specific Project],Love What You're Doing With Your Newsletter,Genuine compliment,Flattery + Specificity
Cold Outreach,This Might Be A Long Shot But...,This Might Be A Long Shot But...,Humble approach,Curiosity + Low Pressure
Cold Outreach,[Company Name]: [Specific Opportunity] Worth Exploring,[Acme Corp]: Partnership Worth Exploring,Direct value,Clarity + Relevance
Cold Outreach,Noticed [Problem] - Built Something That Helps,Noticed Your Site Loads Slow - Built Something That Helps,Problem-solution,Value + Relevance
Cold Outreach,[Name] - We Should Talk About [Mutual Interest],[Mike] - We Should Talk About The AI Space,Direct invitation,Authority + Shared Interest
Cold Outreach,Congrats On [Recent Achievement] - Quick Idea,Congrats On Your Series A - Quick Idea,Timely recognition,Relevance + Brevity
Cold Outreach,Different Approach To [Pain Point] For [Company Type],Different Approach To Lead Gen For B2B SaaS,Solution-focused,Innovation + Targeting
Cold Outreach,Your [Competitor] Uses This. Thought You Should See It,Your Competitor Uses This Email Tool. Thought You Should See It,Competitive angle,FOMO + Value
Cold Outreach,[Intriguing Question About Their Business],[Are You Happy With Your Customer Onboarding?],Question hook,Curiosity + Relevance
Cold Outreach,Helped [Similar Company] [Achieve Result] - Can We Chat,Helped 3 SaaS Companies 2x MRR - Can We Chat,Social proof pitch,Results + CTA
Cold Outreach,Not Your Typical [Sales Pitch Type],Not Your Typical Cold Email,Pattern interrupt,Intrigue + Different
Cold Outreach,[Name] - [Mutual Benefit] Opportunity,[Sarah] - Win-Win Partnership Opportunity,Value exchange,Clarity + Fairness
Cold Outreach,Respect What You're Building - Have An Idea,Respect What You're Building - Have An Idea,Admiration + value,Flattery + Contribution
Cold Outreach,Your [Specific Content] Inspired This Tool,Your LinkedIn Post About Hiring Inspired This Tool,Content callback,Personalization + Relevance
Cold Outreach,[Time-Sensitive Opportunity] Before [Deadline],[Free Audit Offer] Before We're Fully Booked,Urgency hook,Scarcity + Value
